id,physical_description,unit_capture,size,len_comp_size,size_comp_flag,width,height,optional
21103,BOOKLET; ILLUS; COL; 4X6;,inches,4.0X6.0,,0,4.0,6.0,
21104,CARD;ILL;5X8;,inches,5.0X8.0,,0,5.0,8.0,
21105,FOLDER; ILLUS;  COL; 5.25 X 8.75;,inches,5.25X8.75,,0,5.25,8.75,
21106,BOOKLET; 5.5X8;,inches,5.5X8.0,,0,5.5,8.0,
21107,BROADSIDE;ILLUS;COL;6X9.25;,inches,6.0X9.25,,0,6.0,9.25,
21108,BOOKLET; ILLUS; COL; 6.25X9.6;,inches,6.25X9.6,,0,6.25,9.6,
21109,CARD; COL; 4.5 X 7.25;,inches,4.5X7.25,,0,4.5,7.25,
21110,CARD; 4.0X6.25; ILLUS;,inches,4.0X6.25,,0,4.0,6.25,
21111,CARD; ILLUS; COL; 4.5X6.75;,inches,4.5X6.75,,0,4.5,6.75,
21112,BOOKLET RIBBON TRIM; ILLUS; COL; 5.5 X 6.5;,inches,5.5X6.5,,0,5.5,6.5,
21113,BROADSHEET;ILL;COL;5.5X8;,inches,5.5X8.0,,0,5.5,8.0,
21114,FOLDER; ILLUS; COL; 6X8.5;,inches,6.0X8.5,,0,6.0,8.5,
21115,CARD; ILLUS; 4.5X6.75;,inches,4.5X6.75,,0,4.5,6.75,
21116,CARD; ILLUS; COL; 3.6X6.75;,inches,3.6X6.75,,0,3.6,6.75,
21117,FOLDER; ILLUS; COL; 5X8;,inches,5.0X8.0,,0,5.0,8.0,
21118,FOLDER; ILLUS; 4.5 X 7;,inches,4.5X7.0,,0,4.5,7.0,
21119,FOLDER; 6X9;,inches,6.0X9.0,,0,6.0,9.0,
21120,BOOKLET; 4.5 X 5.5;,inches,4.5X5.5,,0,4.5,5.5,
21121,BOOKLET;ILLUS;COL;5X9;,inches,5.0X9.0,,0,5.0,9.0,
21122,CARD; 3.75 X 7.25;,inches,3.75X7.25,,0,3.75,7.25,
21123,BROADSIDE;ILL;COL;4X7.5;,inches,4.0X7.5,,0,4.0,7.5,
21124,BROADSIDE; 4X6.5;,inches,4.0X6.5,,0,4.0,6.5,
21125,CARD; ILLUS; COL; 4.5 X 7.25;,inches,4.5X7.25,,0,4.5,7.25,
21126,BOOK; COL; ILLUS; 6.25 X 7.5;,inches,6.25X7.5,,0,6.25,7.5,
21127,CARD; ILLUS; COL; 4.5X6.75;,inches,4.5X6.75,,0,4.5,6.75,
21128,,,,,0,,,
21129,"FOLDER,ILLUS;HANDWRITTEN;6 X 8.75;",inches,6.0X8.75,,0,6.0,8.75,
21130,FOLDER; ILLUS; COL; 4.5X7;,inches,4.5X7.0,,0,4.5,7.0,
21131,FOLDER; ILLUS; COL; 8.25X11;,inches,8.25X11.0,,0,8.25,11.0,
21132,CARD;ILL;COL;5X8;,inches,5.0X8.0,,0,5.0,8.0,
21133,FOLDER;ILLUS;7X8.75;,inches,7.0X8.75,,0,7.0,8.75,
21134,BROADSIDE; ILLUS; COL; 3.5X7;,inches,3.5X7.0,,0,3.5,7.0,
21135,BROADSIDE;ILL;COL;5X9;,inches,5.0X9.0,,0,5.0,9.0,
21136,BROADSIDE; ILLUS; COL; 4.25X6.25;,inches,4.25X6.25,,0,4.25,6.25,
21137,BROADSHEET; ILLUS; 4X6.5;,inches,4.0X6.5,,0,4.0,6.5,
21138,FOLDER; ILLUS; 6.5X7.75;,inches,6.5X7.75,,0,6.5,7.75,
21139,FOLDER; ILL; COL; 3.5X6,inches,3.5X6.0,,0,3.5,6.0,
21140,CARD; ILLUS; 6 X 8.75;,inches,6.0X8.75,,0,6.0,8.75,
21141,FOLDER; ILLUS; COL; 8.5 X 11.25;,inches,8.5X11.25,,0,8.5,11.25,
21142,CARD; 3.5 X 5.5;,inches,3.5X5.5,,0,3.5,5.5,
21143,FOLDER; COL; 5.5X8.25;,inches,5.5X8.25,,0,5.5,8.25,
21144,BOOKLET; COL; 5.5 X 6.75;,inches,5.5X6.75,,0,5.5,6.75,
21145,CARD;ILLUS;COL;4.5X7;,inches,4.5X7.0,,0,4.5,7.0,
21146,FOLDER;ILLUS;3 X 5.25;,inches,3.0X5.25,,0,3.0,5.25,
21147,BROADSIDE; 5.25X8.0; ILLUS; COL;,inches,5.25X8.0,,0,5.25,8.0,
21148,BROADSIDE; ILLUS; COL; 4.25X6;,inches,4.25X6.0,,0,4.25,6.0,
21149,BOKKLET; ILLUS; 6.25 X 5;,inches,6.25X5.0,,0,6.25,5.0,
21150,BOOKLET; 5 X 7;,inches,5.0X7.0,,0,5.0,7.0,
21151,CARD;ILLUS;COL;4.25X6.5;,inches,4.25X6.5,,0,4.25,6.5,
21152,FOLDER;CARD;5X7.75;,inches,5.0X7.75,,0,5.0,7.75,
21153,FOLDER; 3.75 X 6;,inches,3.75X6.0,,0,3.75,6.0,
21154,FOLDER; ILLUS; COL;,0,,,0,,,
21155,CARD; ILLUS; 5.5X8;,inches,5.5X8.0,,0,5.5,8.0,
21156,BROADSIDE; ILLUS; COL; 4.25X6.75;,inches,4.25X6.75,,0,4.25,6.75,
21157,FOLDER; ILLUS BORDER; COL; 7 X 11;,inches,7.0X11.0,,0,7.0,11.0,
21158,BROADSIDE; 4 X 7.5,inches,4.0X7.5,,0,4.0,7.5,
21159,BROADSIDE; ILLUS; COL; 3.25X5;,inches,3.25X5.0,,0,3.25,5.0,
21160,CARD; ILL; 6X7.5,inches,6.0X7.5,,0,6.0,7.5,
21161,CARD; ILLUS; 5 X 7;,inches,5.0X7.0,,0,5.0,7.0,
21162,BROADSIDE; ILLUS; 4X6;,inches,4.0X6.0,,0,4.0,6.0,
21163,CARD; ILLUS; 6.5 X 10.5,inches,6.5X10.5,,0,6.5,10.5,
21164,CARD; ILLUS; COL; 4X6;,inches,4.0X6.0,,0,4.0,6.0,
21165,CARD; 5 X 6.75;,inches,5.0X6.75,,0,5.0,6.75,
21166,CARD; 3.5 X 6;,inches,3.5X6.0,,0,3.5,6.0,
21167,BOOKLET;ILLUS;COL;5.5X7.5;,inches,5.5X7.5,,0,5.5,7.5,
21168,BOOKLET; ILLUS; COL; 5.5X8;,inches,5.5X8.0,,0,5.5,8.0,
21169,CARD; 4.5 X 8.75,inches,4.5X8.75,,0,4.5,8.75,
21170,BROADIDE; ILLIS; 4.5 X 7.5;,inches,4.5X7.5,,0,4.5,7.5,
21171,FOLDER; COL; 6.5X10;,inches,6.5X10.0,,0,6.5,10.0,
21172,CARD; 5X8;,inches,5.0X8.0,,0,5.0,8.0,
21173,FOLDER; ILLUS; COL; 5.25X7.5;,inches,5.25X7.5,,0,5.25,7.5,
21174,CARD; ILLUS; 5 X 8;,inches,5.0X8.0,,0,5.0,8.0,
21175,CARD; 3.5 X 6;,inches,3.5X6.0,,0,3.5,6.0,
21176,FOLDER; ILLUS; COL; 4.25 x 6.25;,inches,4.25X6.25,,0,4.25,6.25,
21177,FOLDER; ILLUS; 6.5 X9.25;,inches,6.5X9.25,,0,6.5,9.25,
21178,FOLDER; COL; 9 X 10.5;,inches,9.0X10.5,,0,9.0,10.5,
21179,CARD; 4.0X6.25; ILLUS;,inches,4.0X6.25,,0,4.0,6.25,
21180,BOOKLET; ILLUS; COL; 5.5X8;,inches,5.5X8.0,,0,5.5,8.0,
21181,FOLDER;ILL;COL;4.5X7;,inches,4.5X7.0,,0,4.5,7.0,
21182,BROADSHEET;8X10;,inches,8.0X10.0,,0,8.0,10.0,
21183,BROADSIDE;6X9;,inches,6.0X9.0,,0,6.0,9.0,
21184,BOOKLET; ILLUS; COL; 6.25X9.6;,inches,6.25X9.6,,0,6.25,9.6,
21185,CARD; 5.5 X 6.5;,inches,5.5X6.5,,0,5.5,6.5,
21186,CARD;ILL;5X6.5,inches,5.0X6.5,,0,5.0,6.5,
21187,CARD;4.5 X 6;,inches,4.5X6.0,,0,4.5,6.0,
21188,BROADSIDE; COL; 4.5 X 7.5;,inches,4.5X7.5,,0,4.5,7.5,
21189,BOOKLET; ILLUS; COL; 6.5 X 8.5;,inches,6.5X8.5,,0,6.5,8.5,
21190,FOLDER; ILLUS; COL; 5X6.5;,inches,5.0X6.5,,0,5.0,6.5,
21191,FOLDER;2.5X4;,inches,2.5X4.0,,0,2.5,4.0,
