,Occurrance,Frequency
177,"('BROADSHEET', 'ILL')",8
178,"('CARD', '5.5X8.0')",2
179,"('BROADSHEET', '3.75X6.0')",2
180,"('CARD', '6.5X10.0')",1
181,"('CARD', '5.5X7.0')",1
182,"('BROADSIDE', '5.25X7.5')",1
183,"('COL', '5.5X9.0')",1
184,"('CARD', '4.25X6.5')",6
185,"('FOLDER', '6X12')",1
186,"('FOLDER', '6.75X10')",2
187,"('ILLUS', '4.5X7')",19
188,"('ILLUS', '4.5X5.75')",2
189,"('ILLUS', '5.5X7.75')",6
190,"('FOLDER', '5')",24
191,"('ILLUS', '6')",53
192,"('X', '9.75')",22
193,"('BROADSIDE', '3.75')",6
194,"('FOLDER', '4.5')",37
195,"('X', '9.5')",124
196,"('COL', '7X11')",19
197,"('COL', '7X13')",1
198,"('BROADSIDE', 'ILL')",32
199,"('CARD', '5.5')",69
200,"('CARD', '5.25')",26
201,"('5.25', 'X')",258
202,"('X', '10')",52
203,"('X', '9.25')",58
204,"('CARD', '6.75')",2
205,"('6.75', 'X')",21
206,"('CARD', '6.25')",15
207,"('6.25', 'X')",59
208,"('X', '8.25')",144
209,"('CARD', '3.75')",18
210,"('FOLDER', '7')",19
211,"('EMBLEM', '5.25')",12
212,"('CARD', '6.25X9.25')",3
213,"('CARD', '5.5X7.25')",1
214,"('CARD', '6.75X11.0')",2
215,"('FOLDER', '6.0X9.5')",2
216,"('CARD', '6.25X9.5')",1
217,"('CARD', '4.25X7.0')",3
218,"('FOLDER', '6X9.5')",4
219,"('ILLUS', '6X11')",2
220,"('CARD', '5X7.25')",5
221,"('COL', '5.5X9.5')",1
222,"('COL', '6.5X9')",2
223,"('CARD', '6.5')",9
224,"('COL', '4X6.75')",2
225,"('FOLDER', '6.25')",9
226,"('HOTEL', 'SEAL')",2
227,"('SEAL', 'COL')",2
228,"('COL', '6.75')",9
229,"('BROADSHEET', 'HOTEL')",5
230,"('FOLDER', '6.5')",10
231,"('BROADSIDE', 'GOLD')",7
232,"('GOLD', 'TRIM')",11
233,"('TRIM', '3.5')",3
234,"('BROADSIDE', '5.25')",19
235,"('COL', '3.5')",25
236,"('X', '4.75')",9
237,"('COL', '6X8.5')",7
238,"('COL', '6.25X9.75')",2
239,"('CARD', '4X5.5')",1
240,"('BROADSIDE', '5.5')",68
241,"('COL', '3')",10
242,"('3', 'X')",29
243,"('ILL', '4.5X5.75')",1
244,"('CARD', '5.75X6.5')",8
245,"('ILLUS', '4.5X6.5')",11
246,"('BROADSIDE', '4.5X7.25')",5
247,"('COL', '4X5.5')",8
248,"('COL', '6.5X8.75')",9
249,"('COL', '5.25X7')",13
250,"('BOOKLET', '5.75')",6
251,"('5.75', 'X')",53
252,"('EMBLEM', '4.25')",5
253,"('EMBLEM', 'GOLD')",1
254,"('TRIM', '6.5')",2
255,"('COL', '4.75')",59
256,"('4.75', 'X')",114
257,"('COL', '3.75')",15
258,"('COL', '5.25')",116
259,"('COL', '5X7')",46
260,"('COL', '4.5X9')",3
261,"('COL', '5.5X11')",1
262,"('COL', '6X10.75')",1
263,"('BOOLET', 'ILL')",1
264,"('COL', '4/25X7')",1
265,"('CARD', '7X11')",8
266,"('CARD', '5.25X7')",2
267,"('COL', '4.5X6')",14
268,"('COL', '5.25X8')",97
269,"('3', '5X7')",1
270,"('COL', '4.X6.25')",1
271,"('COL', '3.75X7')",5
272,"('COL', '5.25X7.5')",69
273,"('FOLDER', '3.0X3.0')",1
274,"('ILLUS', '5.5X7.0')",3
275,"('CARD', '4.75X6.75')",2
276,"('CARD', '3.25X6.25')",1
277,"('COL', '5.5X7.25')",18
278,"('FOLDER', '5.75X8.75')",4
279,"('CARD', '5.5X6.5')",5
280,"('COL', '4.5X6.25')",8
281,"('BROADSIDE', '3.75X6')",2
282,"('ILLUS', '5X7.5')",5
283,"('COL', '4X8')",2
284,"('COL', '4.75X6.75')",9
285,"('COL', '5.5X8.75')",10
286,"('COL', '10.75X13')",1
287,"('BROADSIDE', '6.0X10.0')",1
288,"('CARE', '4.25X8.0')",1
289,"('CARD', '4.5X8.75')",1
290,"('COL', '6.75X8.25')",1
291,"('ILLUS', '3.5')",16
292,"('X', '5.75')",33
293,"('ILLUS', 'CO')",2
294,"('CO', '8')",1
295,"('8', 'X')",22
296,"('BROADSIDE', '7')",2
297,"('COL', '3.5X4.5')",2
298,"('COL', '4.6.25')",1
299,"('ILLUS', 'GOLD')",4
300,"('TRIM', '4.5')",6
301,"('ILL', '4.25X7')",1
302,"('COL', '4.75X7.5')",7
303,"('COL', '3.25X5')",17
304,"('ILL', '3.75X7')",1
305,"('ILL', '4.5X6.25')",1
306,"('CARD', '4.75X7.0')",1
307,"('CARD', '6.0X8.0')",3
308,"('ILLUS', '4.5X6.75')",12
309,"('CARD', '4.75')",22
310,"('ILLUS', 'COK')",1
311,"('COK', '4.5')",1
312,"('CARD', 'GOLD')",2
313,"('GOLD', 'DECORATION')",2
314,"('DECORATION', '3')",1
315,"('BROADSIDE', 'FLAG')",13
316,"('FLAG', 'ILLUS')",7
317,"('ILLUS', '5.25')",60
318,"('BROADSHEET', 'FLAG')",3
319,"('ILLUS', 'OF')",6
320,"('OF', 'HOTEL')",2
321,"('HOTEL', '8')",1
322,"('CARD', '4.5X7.25')",7
323,"('CARD', '5.5X8.5')",3
324,"('CARD', '6.0X9.5')",2
325,"('BROADSHEET', '7.0X11.0')",1
326,"('COL', '4.25X6')",12
327,"('8', 'ILLUS')",6
328,"('CARD', '6X10')",2
329,"('EMBLEM', '4')",11
330,"('BROADSIDES', '(6)')",1
331,"('(6)', '4.0X12.5')",1
332,"('BROADSHEET', '6.0X9.0')",1
333,"('ILLUS', '4.75X7.25')",3
334,"('COL', '4X9')",3
335,"('BROADSIDE', '7X12')",1
336,"('ILL', '6X7.5')",2
337,"('ILL', '5X7')",7
338,"('COL', '6.75X7.0')",1
339,"('BROADSIDE', '4.75X7.5')",1
340,"('CARD', '5.0X8.0')",6
341,"('ILLUS', '4.5X8.0')",3
342,"('CARD', '4.5X7.0')",2
343,"('COL', '5.75X7.25')",3
344,"('ILLUS', '4.5X7.0')",1
345,"('ILLUS', '7.0X11.0')",7
346,"('ILLUS', '5.5X9.0')",3
347,"('CARD', '3.5X4.75')",1
348,"('ILLUS', '4.0X7.5')",1
349,"('ILLUS', '5.0X10.0')",1
350,"('BROADSIDE', 'EMBLEM')",75
351,"('EMBLEM', '5.5')",50
352,"('FOLDER', '4.75')",3
353,"('FOLDER', 'ILLUS.COVER')",17
354,"('ILLUS.COVER', 'COL')",16
355,"('COL', '3.75X5.75')",3
356,"('ILLUS', '5.5X9.75')",1
357,"('CARD', '4.25X7')",4
358,"('CARD', '5.5X9.5')",4
359,"('CARD', '5.5X8')",2
360,"('COL', '3.75X5.5')",5
361,"('FOLDER', '5.75X10.25')",1
362,"('ILLUS', '3.75X5.5')",2
363,"('CARD', 'EMBLEM')",1
364,"('BROADSHEET', 'ILLUS.')",6
365,"('ILLUS.', 'OF')",3
366,"('OF', 'JAPANESE')",6
367,"('JAPANESE', 'CHILDREN')",8
368,"('CHILDREN', 'IN')",8
369,"('IN', 'COLOR')",11
370,"('COLOR', '10')",7
371,"('10', 'X')",13
372,"('BROADSIDE', ""CLUB'S"")",1
373,"(""CLUB'S"", 'EMBLEM')",1
374,"('COL', '5X8.5')",2
375,"('COL', '5X6.5')",14
376,"('ILLUS', '4.75X6.25')",2
377,"('COL', '3.5X6.25')",2
378,"('CARD', '4.5X6.5')",8
379,"('ILLUS', '5.25X8.5')",1
380,"('ILLUS', '5.5X9.5')",1
381,"('COL', '5.5X9.25')",3
382,"('ILLUS', '4.5X7.5')",9
383,"('5', '25')",4
384,"('25', 'X')",5
385,"('ILLUS', '5.75')",23
386,"('CARD', '5.25X7.5')",4
387,"('CARD', '7')",14
388,"('ILLUS', 'BORDER')",22
389,"('BORDER', '5.5')",3
390,"('BROADSIDE', 'ILLUS.')",11
391,"('ILLUS.', 'BORDER')",11
392,"('BORDER', '5.25')",19
393,"('FOLDER', 'EMBLEM')",5
394,"('EMBLEM', '6.5')",1
395,"('BOOKLET', 'EMBLEM')",1
396,"('4', 'PAGES')",1
397,"('PAGES', '3.25')",1
398,"('BROADSIDE', '6X9.5')",1
399,"('BROADSHEET', '6X8.5')",2
400,"('BROADSIDE', '4.X')",1
401,"('4.X', '7')",1
402,"('CARD', '3.25')",6
403,"('X', '5.25')",26
404,"('ILLUS', 'COVER')",12
405,"('COVER', '3')",7
406,"('CHILDREN', 'COL')",1
407,"('COL', '1O')",2
408,"('1O', 'X')",2
409,"('BORDER', 'COL')",8
410,"('BROADSHEET', '5.5X7.75')",25
