,Occurrance,Frequency
751,"('CARD', '5.5X7.5')",11
752,"('ILLUS', '6.5X9.25')",2
753,"('5', '25X8')",1
754,"('ILL', '5.5X8.5')",6
755,"('ILLUS', '5X7.25')",7
756,"('COL', '3.5X9')",3
757,"('COL', '3.5X5.75')",3
758,"('5', '7')",3
759,"('FOLDER', '5.5X8.75')",4
760,"('COL', '4.5X8')",7
761,"('BORDER', '5')",2
762,"('COL', 'ILLUST')",1
763,"('ILLUST', '5.5')",1
764,"('COL', '6.25X9.5')",1
765,"('ILLUS', '5X5.75')",1
766,"('BROADSHEET', 'ILLUS.JAPANESE')",1
767,"('ILLUS.JAPANESE', 'CHILDREN')",1
768,"('BROADSIDE', 'COL.')",4
769,"('COL.', 'BORDER')",2
770,"('ILLUS.', 'JAPANESE')",3
771,"('JAPANESE', 'COUNTRY')",2
772,"('COUNTRY', 'COL')",2
773,"('ILLUS', 'JAPANESE')",3
774,"('JAPANESE', 'WARRIOR')",1
775,"('WARRIOR', 'COL')",1
776,"('BROADSIDE', 'ILLUS.BORDER')",1
777,"('JAPANESE', 'COL')",1
778,"('BROADSIDE', '4.25')",1
779,"('CARD', '5.5X8.25')",2
780,"('CARD', '5.0X7.25')",2
781,"('CARD', '5.0X7.75')",1
782,"('COL', '10.75')",1
783,"('10.75', 'X')",1
784,"('COL', '5.75X6.25')",1
785,"('ILLUS', 'COLL')",2
786,"('COLL', '5X8')",2
787,"('CARD', '4.5X9.0')",3
788,"('BORDER', '4.75')",1
789,"('BORDER', '4.5')",1
790,"('ILLUS', '5.0X7.0')",1
791,"('4""', 'by')",1
792,"('by', '14""')",1
793,"('14""', 'broadside')",1
794,"('EMBLEM', '5X8')",1
795,"('BROADSHEET', '3.5X5')",1
796,"('BROADSIDE', '5.25X8.0')",10
797,"('5.25X8.0', 'ILLUS')",16
798,"('ILLUS', '4X8.25')",1
799,"('COL', '8X10.75')",1
800,"('ILL', '3.25X4.5')",1
801,"('ILL', '5X8')",9
802,"('COL', '8X8.75')",1
803,"('BROADSIDE', '9X14.75')",1
804,"('FOLDER', '6.5X8.75')",1
805,"('FOLDER', '4.5X8.0')",2
806,"('4.5X8.0', 'ILLUS')",2
807,"('ILL', '6X9.5')",6
808,"('COL', '8.75X12.75')",9
809,"('ILLUS', '3.25X5')",3
810,"('ILLUS', '6X8.5')",4
811,"('FOLDER', '4X8')",1
812,"('4X8', 'ILLUS')",1
813,"('COL', '4X5')",1
814,"('FOLDER', '5X6.75')",3
815,"('ILL', '6X8.5')",2
816,"('BROADSHEET', '5.25X9')",1
817,"('COL', '8.5X13')",1
818,"('BROADSHEET', '4.5X9.25')",2
819,"('FOLDER', '4.75X6.75')",2
820,"('COL', '3X6')",2
821,"('CARD', 'COLOR')",4
822,"('COLOR', 'ILLUS')",3
823,"('COL', '7.5X11')",2
824,"('COL', '7.6X10')",2
825,"('COL', '4X6')",16
826,"('FOLDER', '5X7.25')",3
827,"('FOLDER', 'HOTEL')",3
828,"('FOLDER', '5.50')",1
829,"('5.50', 'X')",1
830,"('ILLUS', 'CARD')",1
831,"('CARD', 'FOLDER')",4
832,"('COL', '4.75X9')",9
833,"('COL', '4.6X6.6')",5
834,"('FOLDER', 'BUFF')",1
835,"('BUFF', 'ILLUSTRATION')",1
836,"('ILLUSTRATION', '[HOTEL?]')",1
837,"('CARD', '5.5X5.5')",1
838,"('COL', '5X8.75')",5
839,"('ILL', '7.5X5.5')",1
840,"('ILL', 'COLOR')",2
841,"('COLOR', '4.5X7.25')",1
842,"('ILL', '9.5X6.75')",1
843,"('COL', '8')",7
844,"('CARD', '2.25X3.5')",1
845,"('COL', '4X5.6')",2
846,"('BROADSIDE', '2.75')",1
847,"('2.75', 'X')",3
848,"('COL', '5.2X8.7')",1
849,"('BOOKLET', '5.5X8')",1
850,"('COL', '6.25X9.6')",3
851,"('4.0X6.25', 'ILLUS')",9
852,"('COL', '3.6X6.75')",2
853,"('BOOKLET', '4.5')",4
854,"('BROADSIDE', '4X6.5')",1
855,"('BOOK', 'COL')",2
856,"('ILLUS', 'HANDWRITTEN')",4
857,"('HANDWRITTEN', '6')",1
858,"('COL', '8.25X11')",1
859,"('ILLUS', '7X8.75')",1
860,"('COL', '3.5X7')",3
861,"('ILLUS', '4X6.5')",1
862,"('ILLUS', '6.5X7.75')",1
863,"('COL', '3.5X6')",4
864,"('COL', '8.5')",7
865,"('ILLUS', '3')",3
866,"('BOKKLET', 'ILLUS')",1
867,"('BOOKLET', '5')",7
868,"('CARD', '5X7.75')",1
869,"('ILLUS', '5.5X8')",3
870,"('4', '3/3')",1
871,"('3/3', 'X')",1
872,"('BROADIDE', 'ILLIS')",1
873,"('ILLIS', '4.5')",1
874,"('4.25', 'x')",5
875,"('x', '6.25')",8
876,"('6.5', 'X9.25')",1
877,"('BROADSHEET', '8X10')",1
878,"('BROADSIDE', '6X9')",4
879,"('ILL', '5X6.5')",3
880,"('FOLDER', '2.5X4')",1
881,"('BROADSIDE', '5X9.2')",1
882,"('BROADSIDE', '6.75')",1
883,"('BROADSHEET', '4.25')",1
884,"('4.25', '4.25')",1
885,"('COL', '7X5')",2
886,"('2', 'CARDS')",4
887,"('CARDS', 'JOINED')",5
888,"('BY', 'YELLOW')",1
889,"('YELLOW', 'RIBBON')",1
890,"('RIBBON', 'COL')",1
891,"('BROADSIDE', '5.75')",3
892,"('COL', '7.75X10')",2
893,"('COL', '4X8.75')",1
894,"('FOLDER', '7.75X12.0')",1
895,"('FOLDER', '6.5X9.25')",1
896,"('5', 'x')",30
897,"('x', '8')",25
898,"('COL', '5X6.75')",4
899,"('TRIM', '5X7')",2
900,"('COL', '4.6X7.6')",1
901,"('FOL', '4.5X5.25')",1
902,"('ILLUS', '5X8.25')",2
903,"('BROADSHEET', '7X5.5')",1
904,"('ILL', '5.5X6.75')",1
905,"('BOOKLET', 'TWO')",2
906,"('TWO', 'PAGES')",2
907,"('PAGES', 'JOINED')",2
908,"('BY', 'CORD')",1
909,"('CORD', 'ILLUS')",1
910,"('COL', '7.5')",11
911,"('7.5', 'X')",18
912,"('FOLDER', '6.825X10.5')",2
913,"('BROADSIDE', '5X6.25')",1
914,"('FOLDER', '4.5X7.0')",6
915,"('4.5X7.0', 'ILLUS')",6
916,"('FOLDER', 'PHOTO')",2
917,"('PHOTO', '5.5')",1
918,"('BROADSIDE', '5.75X9.0')",1
919,"('5.75X9.0', 'COL')",1
920,"('ILLUS', '8.6X14')",1
921,"('COL', '3.75X7.5')",13
922,"('ILLUS', '7.25X9')",1
923,"('CARD', '5.75')",1
924,"('FOLDER', '2.75X4.5')",1
925,"('CARD', 'ENGRAVED')",2
926,"('ENGRAVED', 'MENU')",1
927,"('MENU', 'IN')",3
928,"('IN', 'FRENCH')",2
929,"('FRENCH', '4')",1
930,"('FOLDER', 'GREEN')",1
931,"('GREEN', 'ILLUS')",1
932,"('ILLUS', '6X')",1
933,"('6X', '9.25.')",1
934,"('ON', 'COVER')",7
935,"('COVER', '6')",1
936,"('ILLUS', '5.25X7')",5
937,"('x', '7')",58
938,"('BROADSHEET', '5X8')",21
939,"('4.5', 'X.7')",3
940,"('ILLUS', '15')",1
941,"('15', 'X')",1
942,"('COL', 'ILUS')",1
943,"('ILUS', '4.75')",1
944,"('ILLUS', '5.75X7.25')",1
945,"('COL', '7.5X14')",1
946,"('BROADSIDE', '5.5X9.0')",2
947,"('ILL', '3.75X5.5')",2
948,"('COVER', '3.25')",1
949,"('COL', '6.25X11')",1
950,"('ILLUS.', 'FOLDER')",6
951,"('CARD', '4X8.5')",2
952,"('COL', '5.6X10.25')",1
953,"('FOLDER', '5.5X7')",5
954,"('ILLUS', '4X5')",2
955,"('FABRIC', 'BOOKLET')",1
956,"('COL', '4.5X7.2')",1
957,"('BROADSIDE', '4.5X7')",5
958,"('FOLDER', '4')",8
959,"('FOLDER', '5X7')",3
960,"('ILL', '4X6.5')",2
961,"('ILL', '5')",1
962,"('5', '1/4X41/2')",1
963,"('BOLDER', '3.5')",1
964,"('4.5', 'X.6.25')",1
965,"('COL', '3.6X5.75')",1
966,"('ILL', '5X5.5')",1
967,"('ILLUS', '5.75X8')",2
968,"('ILLUS', '6.75')",4
969,"('COL', '6.6X8.6')",2
970,"('COL', '6.5X8')",3
971,"('BROADSHEET', '6.5X8.75')",2
972,"('6.5X8.75', 'ILLUS')",3
973,"('BROADSIDE', '4.25.')",1
974,"('4.25.', 'x')",1
975,"('x', '6.5')",7
976,"('FOL', 'ILLUS')",14
977,"('7', 'x')",44
978,"('x', '11')",48
979,"('FOLDER', '3.5')",2
980,"('ILLUS', '12')",1
981,"('12', 'X')",1
982,"('X', '15')",1
983,"('ILLUS', '5X9')",4
984,"('ILLUS', '5.5X3.5')",1
985,"('COL', '7X10')",5
986,"('ILLUS', '4.25X6.5')",8
987,"('CARD', '7.25')",2
988,"('7.25', 'X')",4
989,"('BOOKLET', '3.5')",3
990,"('COL', '5.75X7')",1
991,"('BROADSHEET', '4.5')",4
992,"('X', '6X5')",1
993,"('FOLDER', '3X4')",1
994,"('ILL', '4.5X6.5')",3
995,"('FOLDER', '5.0X6.5')",1
996,"('COL', '5.50X6.75')",1
997,"('COL', '6.25X5')",1
998,"('ILL', '5.5X7.75')",4
999,"('COVER', '4.25')",3
1000,"('ILLUS', '5X7.75')",1
1001,"('7.75', 'ILLUS')",4
1002,"('ILL', '5X5.75')",2
1003,"('COL', '5.5X5.5')",1
1004,"('BROADSHEET', 'GOLD')",2
1005,"('TRIM', '6.75X10.75')",2
1006,"('COL', '5.6X7')",8
1007,"('COL', '4.25X5.75')",4
1008,"('ILLUS', '5.6X8')",3
1009,"('BROADSHEET', '6.25')",3
1010,"('COL', '2.5X6')",1
1011,"('BROADSIDE', '5.5X8.25')",2
1012,"('CARD', '5.0X8.25')",3
1013,"('5.0X8.25', 'ILLUS')",6
1014,"('FOLDER', '4.75X5.5')",2
1015,"('ILLUS', '5.6X6.6')",7
1016,"('COL', 'RIBBON')",6
1017,"('ILLUS', '6.5X10.5')",1
1018,"('COL', '4.75X6.5')",2
1019,"('4', '5')",1
1020,"('CARD', '6.0X9.25')",3
1021,"('ILL', '4.75X6')",2
1022,"('ILLUS', '9.5X12.5')",2
1023,"('ILLUS', '3.5X5.5')",2
1024,"('BROADSHEET', '5.5X8.75')",2
1025,"('BROADSIDE', '9X6')",1
1026,"('ILLUS', '5.25X6.5')",1
1027,"('BOOKLET', '5.5')",3
1028,"('BOOKLET', 'O')",1
1029,"('O', 'IS')",1
1030,"('IS', 'COL')",1
1031,"('COL', '9.5')",3
1032,"('9.5', 'X')",4
1033,"('BOOKLET', 'SILK')",1
1034,"('SILK', 'COVER')",1
1035,"('COVER', 'ILLUS')",1
1036,"('ILLUS', '7X9.25')",1
1037,"('ILLUS', '3.24X5.5')",1
1038,"('ILLU', '4.5')",1
1039,"('ILL', '4X6')",4
1040,"('ILLUS', '3.25')",3
1041,"('COL', '7.25X11.25')",1
1042,"('COL', '5.6X7.75')",1
1043,"('COL', '5/24X6.5')",1
1044,"('COL', '8X9')",1
1045,"('FOLDER', '4X5')",3
1046,"('COL', '7.75')",6
1047,"('7.75', 'X')",8
1048,"('COL', '6.75X9')",1
1049,"('ILLUS', '5.25X')",1
1050,"('5.25X', '8.5')",1
1051,"('CARD', '3.75X7.5')",4
1052,"('ILLUS', '5X4')",1
1053,"('COL', '5X8/25')",1
1054,"('BOOKLET', '5.5X7.5')",1
1055,"('5.5X7.5', 'COL')",1
1056,"('BROADSIDE', 'MENU')",1
1057,"('FRENCH', '4.25')",1
1058,"('COL', '4X7.75')",1
1059,"('COL', '6X7.25')",1
1060,"('COL', '7.25X4.75')",2
1061,"('COL', '8X6')",5
1062,"('ILLUS', '6.75X9')",1
1063,"('BOOKLET', '4.75')",1
1064,"('BROADSIDE', '4.75')",4
1065,"('LLUS', '4.25')",1
1066,"('5', 'X8')",1
1067,"('FROADSIDE', '4.5X7.25')",1
1068,"('COL', '3.6X7.25')",2
1069,"('BOOKLET', 'RED')",4
1070,"('RED', 'RIBBON')",4
1071,"('TRIM', 'COL')",2
1072,"('FOLDER', '5.6X8')",1
1073,"('ILLUS', '7X9')",3
1074,"('TRIM', '6X5.25')",1
1075,"('ILL', '6X7')",5
1076,"('COL', '4.5X10')",1
1077,"('FOLDER', '6X9/25')",1
1078,"('ILLUS', '9X13.5')",1
1079,"('FLAG', 'EMBLEM')",13
1080,"('EMBLEM', '4.5X6.25')",3
1081,"('4.25', 'C')",1
1082,"('C', '6.25')",1
1083,"('x', '7.5')",9
1084,"('7', '.')",1
1085,"('ILLUS', '4.25X6.75')",1
1086,"('FOLDER', '6.5X5.25')",1
1087,"('5', '1/1')",1
1088,"('1/1', 'x')",1
1089,"('7', 'ILLUS')",2
1090,"('COL', '4.5X8.75')",14
1091,"('COL', '5X6.25')",4
1092,"('CARD', '3X4.5')",1
1093,"('5.5', 'x')",22
1094,"('x', '8.5')",17
1095,"('ILL', '7X6')",1
1096,"('BROADSIDE', '8.75X11.5')",1
1097,"('ILLUS', '6.5X11')",2
1098,"('FOLDER', '5.25X9.5')",1
1099,"('FOLDER', '6.25X9.25')",2
1100,"('FOLDED', 'SHEET')",1
1101,"('SHEET', '12X8')",1
1102,"('FOLDER', '8.5X11')",1
1103,"('ILLUS', '8.75')",2
1104,"('X', '12.25')",4
1105,"('FILDER', 'ILLUS')",1
1106,"('CARD', 'ENCLOSED')",1
1107,"('ENCLOSED', 'IN')",1
1108,"('IN', 'INVITATION')",1
1109,"('INVITATION', 'BOOKLET')",1
1110,"('COL', '8X10.25')",2
1111,"('COL', '5.25X6.25')",1
1112,"('COL', '3.6X6.25')",2
1113,"('COL', '8X11')",1
1114,"('BOOKLET', '4.25')",1
1115,"('BROADSIDE', '4.50')",1
1116,"('4.50', 'x')",5
1117,"('x', '6.50')",1
1118,"('FOLDER', 'REPLICA')",1
1119,"('REPLICA', 'OF')",1
1120,"('OF', 'FRATERNITY')",1
1121,"('FRATERNITY', 'EMBLEM')",1
1122,"('EMBLEM', 'ON')",1
1123,"('ILLUS', '6.5X3.5')",1
1124,"('CARD', '6X8.75')",3
1125,"('COL', '8.6X10.6')",1
1126,"('COL', '7X9.25')",2
1127,"('COL', '7X5.25')",1
1128,"('COL', '7.75X13.5')",2
1129,"('FOLDER', 'FLAG')",2
1130,"('FOLDER', '4.5X6.75')",2
1131,"('ILLUS', '5.25X6.75')",2
1132,"('BOOKLET', '4')",3
1133,"('FOLDER', '10.25')",1
1134,"('FOLDER', '3.5X5.0')",1
1135,"('3.5X5.0', 'ILLUS')",1
1136,"('COL', 'PHOTO')",2
1137,"('PHOTO', '5.25')",1
1138,"('X', '3.75')",2
1139,"('COL', '3.5X8.25')",1
1140,"('ILLUS', 'PLACE')",1
1141,"('PLACE', 'CARD')",1
1142,"('CARD', 'ATTACHED')",1
1143,"('ATTACHED', '4.25X6.5')",1
1144,"('CARD', '3X5')",1
1145,"('6X9', 'ILLUS')",1
1146,"('ILLUS', 'ENGRAVED')",1
1147,"('ENGRAVED', 'COL')",1
1148,"('FOLDER', '2X6')",1
1149,"('2X6', 'ILLUS')",1
1150,"('BROADSHEET', '5.75')",1
1151,"('ILL', '5.75X7')",1
1152,"('7', 'COL')",2
1153,"('COL', '3.6X5')",3
1154,"('BORDER', '6.75')",1
1155,"('ILL', '4.25X6.25')",5
1156,"('COL', '6.6X10')",1
1157,"('3.75', 'x')",6
1158,"('HANDWRITTEN', '6.5X9')",1
1159,"('CARD', '6X11')",2
1160,"('CARD', '3X6.5')",1
1161,"('X', '7.0')",1
1162,"('CARD', '5X9')",2
1163,"('COL', '5.6X11')",2
1164,"('ENGRAVED', 'DECORATION')",2
1165,"('DECORATION', '4.5')",1
1166,"('ILLUS', '5X6.25')",3
1167,"('ILL', '4.75X7')",5
1168,"('ILLUS', '5.6X7')",2
1169,"('BOOKLET[HARD', 'COVER]')",1
1170,"('COVER]', 'ILLUS')",1
1171,"('CARD', '5.25X8')",1
1172,"('ILL', '7.5X9')",1
1173,"('FOLDER', '4X5.5')",1
1174,"('ILL', '6X9')",3
1175,"('EMBLEM', '4.5X6.5')",9
1176,"('BOOKLET', '5.25X6.25')",1
1177,"('COL', '4.5X5.5')",5
1178,"('ILLUS', '5.2X7')",1
1179,"('COL', '4X8.25')",2
1180,"('CARD', '4X6.25')",5
1181,"('ILLUS', '7.5X11.25')",1
1182,"('ILL', '5.25X8')",2
1183,"('GOLD', 'PRINTING')",1
1184,"('PRINTING', '4.25')",1
1185,"('COLOR', '3.5X8.25')",1
1186,"('x', '7.25.')",1
1187,"('CARD', 'INSERT')",1
1188,"('INSERT', 'INSERT')",1
1189,"('INSERT', 'GREEN')",1
1190,"('GREEN', '4.5X6.5')",1
1191,"('4.5X6.5', 'INSERT')",1
1192,"('INSERT', '4X5.5')",1
1193,"('ILLUS', '5.5X8.25')",2
1194,"('BOOKLET', '6.75X10')",1
1195,"('BROADSHEET', '5X9.5')",1
1196,"('BOOKLET', '5X7')",3
1197,"('ILLUS', '3.5X7')",2
1198,"('BROADEIDE', 'HOTEL')",1
1199,"('ILLUS', 'RIBBON')",4
1200,"('TRIM', '4')",2
1201,"('BOOKLET/ILLUS', 'COL')",1
1202,"('6', 'PAGE')",3
1203,"('PAGE', 'BOOKLET')",6
1204,"('BOOKLET', 'PINK')",1
1205,"('PINK', 'RIBBON')",1
1206,"('ILL', '4.75X6.5')",3
1207,"('BROADSHEET', '5.25X8.0')",7
1208,"('ILLUS', '7.25X7.5')",1
1209,"('COL', '8.25X8.5')",1
1210,"('COL', '3X5')",3
1211,"('X', '12.75')",5
1212,"('FOLDER', '7.0X11.125')",3
1213,"('COL', '3.75X8')",5
1214,"('ILLUS', '7XII')",1
1215,"('4', 'x')",17
1216,"('x', '6')",96
1217,"('COL', '4.6X8')",1
1218,"('SINGLE', 'SHEET')",3
1219,"('FOLDER', '6X6')",1
1220,"('COL', '3.75X6.75')",1
1221,"('CARD', '3.5X4.25')",1
1222,"('ILLUS', '6.5X10')",2
1223,"('TRIM', '5X6.25')",1
1224,"('ILLUS', '4.6X7.25')",1
1225,"('FOLDER', 'COLOR')",4
1226,"('COLOR', '3X5')",1
1227,"('FOLDER', '7.25X10.75')",1
1228,"('ILLUS', '9.5')",1
1229,"('BROADSIDE', '4.5X6.5')",3
1230,"('BROADSIDE', '3.5')",3
1231,"('ILLUS', '3.75X6.5')",1
1232,"('BROADSIDE', '3X4.5')",1
1233,"('BROADSHEET', '5.5X8')",1
1234,"('BROADSHEET', 'HEAVY')",1
1235,"('HEAVY', 'STOCK')",1
1236,"('STOCK', '4.5X7')",1
1237,"('TWO', 'CARDS')",2
1238,"('CARDS', 'ILLUS')",4
1239,"('ILLUS', '8.6X8.6')",1
1240,"('ILL', '4.5X7.25')",2
1241,"('BOOKLET', 'COL.')",1
1242,"('COL.', 'PRINTING')",2
1243,"('PRINTING', 'RIBBON')",1
1244,"('ILLUS', '4X7.5')",3
1245,"('FOLDER', '5.5X6.75')",2
1246,"('ILLUS', '6.25X11')",2
1247,"('X', '6.0')",3
1248,"('FOL', '3.75')",1
1249,"('5', '25X8.75')",14
1250,"('ILL', '5.25X6.75')",2
1251,"('COL', '7X7')",1
1252,"('COL', '4.6X7')",3
1253,"('CARD', '5.5X10')",2
1254,"('FOLDER', '4X5.25')",1
1255,"('FOLDER', '3.75X5')",2
1256,"('4.5', 'x')",15
1257,"('BOOKLRY', 'ILLUS')",1
1258,"('HOTEL', 'ENBLEM')",1
1259,"('ENBLEM', 'COL')",1
1260,"('FOLDER', '5.5X8.0')",1
1261,"('COL', '6X11')",1
1262,"('PAMPHLET', 'ILLUS')",1
1263,"('ILLUS', '7.50')",1
1264,"('7.50', 'X')",1
1265,"('BROADSHEET', '4.5X7.25')",2
1266,"('ILLUS', '6.25X7')",1
1267,"('COL', '5X10.5')",1
1268,"('BROADSHEET', '6.75X9.0')",6
1269,"('6.75X9.0', 'ILLUS')",6
1270,"('CARD', '3X9.25')",1
1271,"('ILL', '4.75X7.25')",1
1272,"('ILLUS', '4.4')",3
1273,"('4.4', 'X')",6
1274,"('FOLDER', '7.0X11.0')",5
1275,"('ILL', '5.25X6.5')",2
1276,"('ILLUS', '3.6X5')",2
1277,"('5.75', 'x')",21
1278,"('x', '9')",24
1279,"('EMBLEM', '5.5X8')",1
1280,"('CARD', '3.6X5.6')",1
1281,"('ILLUS', '7.5X11.5')",1
1282,"('ILLUS', '5X5.5')",2
1283,"('X', '6.50')",2
1284,"('COLOR', '5.25X7')",1
1285,"('FOLDER', '5.5X4.5')",2
1286,"('ILL', '5.5X8.75D')",1
1287,"('COL', '6X7')",4
1288,"('ILLUS', '3.5X2.5')",1
1289,"('CARD', '3.5X5')",2
1290,"('TRIM', '6X9.25')",1
1291,"('FOLDER', '4.25X5.75')",1
1292,"('ILLUS', '5X6.5')",3
1293,"('CARD', '4.25X6')",1
1294,"('ILLUS', '4.25X8.5')",2
1295,"('COL', '3.6X5.25')",2
1296,"('BOOKLET', '3.5X4.5')",1
1297,"('ILLUS', '4X5.25')",2
1298,"('CAD', 'FOLDER')",1
1299,"('COL', '5.25X8.75')",3
1300,"('ILLUS', '5.25X3.5')",1
1301,"('ILL', '4.25X6.5')",1
1302,"('ILLUS', '5.75X9.75')",1
1303,"('x', '7.50')",1
1304,"('BROADSHEET', '5')",1
1305,"('5', '3/4X9')",1
1306,"('BACK', 'COL')",3
1307,"('ILL', '5.25X7')",4
1308,"('BROADSHEET', '5X6.5')",1
1309,"('COL', '8.75X12.625')",1
1310,"('COL', '4.5X9.75')",2
1311,"('COL', '9X14')",1
1312,"('ILLUS', '7X7')",1
1313,"('BROADSIDE', 'ILLIS')",1
1314,"('ILLIS', 'COL')",1
1315,"('CARD', '3.5X5.25')",3
1316,"('COL', 'COVER')",1
1317,"('COVER', '4.75')",1
1318,"('CARD', '3.25X5.0')",2
1319,"('3.25X5.0', 'ILLUS')",2
1320,"('FOLDER', 'COL.COVER')",1
1321,"('COL.COVER', 'RIBBON')",1
1322,"('TRIM', '4.75')",3
1323,"('ILL', '4.25X6.75')",3
1324,"('COL', '4X9.5')",1
1325,"('COLOR', '5X7.25.')",1
1326,"('BOOKLET', 'COLORED')",1
1327,"('COLORED', 'ILLUS')",1
1328,"('COL', '6X8.6')",1
1329,"('FOLDER', '6.25X10.0')",1
1330,"('CARD', '5.5X8.75')",1
1331,"('ILL', '8.5X10.75')",1
1332,"('FOLDER', '7X10')",2
1333,"('BROADSIDE', '7X10.75')",1
1334,"('3.75', '5.5')",1
1335,"('COL', '5X6X6.6')",1
1336,"('FOLFER', 'HOTEL')",1
1337,"('COL', '6.6X12')",2
1338,"('ILLUS', '2.75X5.75')",1
1339,"('COL', '3.75X9.25')",1
1340,"('COL', '5.75X9.5')",2
1341,"('4', '5X7.5')",1
1342,"('COL', '5.50')",1
1343,"('5.50', 'x')",2
1344,"('COL', '10X14')",2
1345,"('ILL', '6.75X4.25')",1
1346,"('COL', '3.5X4.75')",1
1347,"('ILL', '3.5X4.5')",3
1348,"('EMBLEM', '4.25X6.5')",1
1349,"('COL', '7X8.5')",2
1350,"('COL', '7X8.75')",1
1351,"('BROADSIDE', '4.75X8')",1
1352,"('ILLUS', '4.25X6.6')",1
1353,"('COL', '5.5x7')",1
1354,"('7.5', 'ILLUS')",1
1355,"('FOLDER', '3.6X6')",1
1356,"('FOLDER', '5.75X7.25')",1
1357,"('ILLUS', '7.5')",4
1358,"('BOOKLET', 'COLOR')",1
1359,"('COLOR', '4.25')",1
1360,"('FOLDER', 'PHOTOGRAPHS')",1
1361,"('PHOTOGRAPHS', '7X9.5')",1
1362,"('COL', '5.5X10')",1
1363,"('COLOR', '4X7')",2
1364,"('x', '7.75')",4
1365,"('ILLUS', '6X10.75')",1
1366,"('COL', '7.25X10')",2
1367,"('ILL', '5.5X8.75')",2
1368,"('CARD', '4.0X6.375')",1
1369,"('COL', '6.6X8')",1
1370,"('ILLUS.', 'BROADSIDE')",3
1371,"('ILLUS', '6X7.75')",1
1372,"('BROADSIDE', '5.5X11')",1
1373,"('BOOKLET', 'FLAG')",2
1374,"('ILL', '5.25X8.5')",1
1375,"('ILL', '5.5X6.25')",1
1376,"('COL', '4X11.25')",2
1377,"('BROADSIDE', 'ON')",1
1378,"('ON', 'SILK')",2
1379,"('SILK', 'ILLUS')",1
1380,"('COL', '3.25X11')",1
1381,"('BOOKLET', 'SILVER')",1
1382,"('SILVER', 'ILLUS')",1
1383,"('BROADSIDE', '5.0X8.25')",1
1384,"('BROADSHEET', '3X5')",1
1385,"('FOLDER', '4.5X6.5')",4
1386,"('COL', '4.75X6.25')",3
1387,"('ILLUS', '4.75X7')",2
1388,"('BROADSIDE', '5X7.5')",3
1389,"('ILLUS', '7.75')",2
1390,"('ILLUS', '6X9.75')",1
1391,"('FOLDER', '5.5X8')",2
1392,"('FOLDER', '3.25')",4
1393,"('3.25', 'x')",4
1394,"('x', '5.50')",1
1395,"('5.50', 'COL')",1
1396,"('FOLDER', '3X7')",1
1397,"('X', '7.35')",1
1398,"('ILL', '5X7.25')",3
1399,"('ILL', '8X6')",1
1400,"('ILLUS', '4.25X5.75')",1
1401,"('FOLDER', '3.5X5')",6
1402,"('ILLUS', '4X7')",3
1403,"('FOLDER', 'ULLUS')",1
1404,"('ULLUS', '5.75')",1
1405,"('CARD', 'BROADSIDE')",1
1406,"('ILL', '6.5X10.5')",1
1407,"('BOOKLET', '4X7.5')",1
1408,"('BOOKLE', 'ILLUS')",1
1409,"('ILLUS', '5X6')",4
1410,"('FOLDER', '5X8')",7
1411,"('5X8', 'ILLUS')",2
1412,"('5X8', 'ILLUS.')",1
1413,"('COL', '5X7.6')",2
1414,"('BROADSIDE', '3.5X5.75')",5
1415,"('ILLUS', '6.75X2.75')",1
1416,"('ILLUS', '4.6X6.25')",1
1417,"('FOLDER', '3.5X6')",2
1418,"('FOLDER', '9.25X4.5')",1
1419,"('BROADSHEET', 'EMBLEM')",1
1420,"('EMBLEM', '4.25X6.75')",1
1421,"('BROADSHEET', '5.5X7.0')",1
1422,"('5.5X7.0', 'ILLUS')",1
1423,"('ILL', '3.5X5.5')",1
1424,"('FOLDER', '4.5X7.25')",1
1425,"('COL.', 'EMBLEM')",2
1426,"('TRIM', '4X6.25')",1
1427,"('BOOKLET', '5.5X9')",1
1428,"('ILL', '4')",3
1429,"('4', '1/2X7')",2
1430,"('CARD', '4.25X7.75')",1
1431,"('ILLUS', '4.5X7.75')",1
1432,"('4', 'PAGE')",2
1433,"('COVER', '6.25')",2
1434,"('CARD', '5.25X8.5')",2
1435,"('FOLDER', '4.25X6')",2
1436,"('DROADSHEET', '5X8')",2
1437,"('CARD', '5X9.25')",1
1438,"('OF', 'TABLE')",1
1439,"('TABLE', 'PLAN')",1
1440,"('PLAN', '5')",1
1441,"('FOLDER', 'COL.')",1
1442,"('COL.', 'ILLUS.')",1
1443,"('ILLUS.', '4.5')",1
1444,"('FOLDER', '7X10.75')",1
1445,"('FOLDER', '5.75X6.5')",1
1446,"('Handwritten', 'Broadside')",1
1447,"('COL', '4.25X7.75')",2
1448,"('ILLUS', '3.5X5.25')",1
1449,"('ILLUS', '7.25X11.25')",1
1450,"('SILK', 'BROADSIDE')",1
1451,"('BOOKLET', 'HOTEL')",2
1452,"('EMBLEM', 'IN')",3
1453,"('IN', 'GOLD')",2
1454,"('GOLD', 'WINE')",1
1455,"('WINE', 'COLOR')",1
1456,"('COLOR', 'COVER')",1
1457,"('ILLUS', '6.5X9')",2
1458,"('COL', '4X4.75')",1
1459,"('COL', ""4.5X6.5'"")",1
1460,"('5X6', '75')",1
1461,"('ILLUS', '7.25')",2
1462,"('7.25', 'x')",15
1463,"('x', '10')",28
