id,physical_description,size_cp,size,menu_format,unit
25282,BROADSIDE; ILLUS; COL; 5.5 X 8.25;, 5.5 x 8.25,5.5x8.25,,
25251,CARD; 4.25 X 7;, 4.25 x 7,4.25x7,,
25249,FOLDER; 7X11;, 7x11,7x11,,
25216,BOOKLET; ILLUS; 4X4.75;, 4x4.75,4x4.75,,
25248,CARD; 4 X 6;, 4 x 6,4x6,,
25219,CARD;ILL;COL;4.25X6.5;,4.25x6.5,4.25x6.5,,
25220,FOLDER; 4X5;, 4x5,4x5,,
25221,BOOKLET;ILLUS; COL; 6.25 X 9.5;, 6.25 x 9.5,6.25x9.5,,
25222,BROADSHEET; 5.0X8.25; ILLUS;, 5.0x8.25,5.0x8.25,,
25223,BROADSIDE;ILLUS;COL;3.5X5.75;,3.5x5.75,3.5x5.75,,
25225,BROADSHEET; 6.25 X 9.75;, 6.25 x 9.75,6.25x9.75,,
25226,FOLDER; 5.5 X 9;, 5.5 x 9,5.5x9,,
25227,BOOKLET; ILLUS; COL; 6  X 7.5, 6  x 7.5,6x7.5,,
25228,FOLDER; EMBLEM;COL;4X5.75;,4x5.75,4x5.75,,
25229,FOLDER;COL;5X7;,5x7,5x7,,
25230,CARD; ILLUS; 4.25 X 8.5;, 4.25 x 8.5,4.25x8.5,,
25232,FOLDER; ILLUS; 5.5 X 7;, 5.5 x 7,5.5x7,,
25233,CARD; 6.25 X 8.25;, 6.25 x 8.25,6.25x8.25,,
25234,"CARD; ILLUS; COL; 5,25X8.75;",25x8.75,5.25x8.75,,
25235,CARD;ILL;5X7.5,5x7.5,5x7.5,,
25237,CARD; COL; 4.75 X 7.5;, 4.75 x 7.5,4.75x7.5,,
25239,FOLDER; ILLUS; 6 X 4.5;, 6 x 4.5,6x4.5,,
25240,FOLDER; ENGRAVED DECORATION;COL. PRINTING;3.25 X 4.5;,3.25 x 4.5,3.25x4.5,,
25241,FOLDER; ILLUS; 8.25X12;, 8.25x12,8.25x12,,
14227,CARD; ILLUS; COL; 5.5X7;, 5.5x7,5.5x7,,
25243,CARD; COLOR; 4.5 X 7;, 4.5 x 7,4.5x7,,
25244,FOLDER;ILL;COL;4.4X7;,4.4x7,4.4x7,,
25245,FOLDER; 5.5 X 7;, 5.5 x 7,5.5x7,,
25246,CARD; 5.5 X 6.5;, 5.5 x 6.5,5.5x6.5,,
25247,FOLDER; 3.5X5; COL., 3.5x5,3.5x5,,
25283,CARD;8X5.25;,8x5.25,8x5.25,,
